UF,MT
Cidade,TABAPORA
Nome Posto,FAZENDA ITAUBA
Latitude,-11.471388888888889
Longitude,-56.43333333333333
Codigo,1156000
Qtd. Anos,39
Ano,Maxima
1982,89
1983,52.3
1984,98
1985,94
1986,52.3
1987,91.1
1988,138.2
1989,101
1990,90.7
1991,70.3
1992,93
1993,90
1994,96.7
1995,58
1996,99.7
1997,98
1998,118
1999,62.1
2000,65.6
2001,107.5
2002,92.7
2003,111.5
2004,763.8
2005,127.9
2006,96
2007,88
2008,72.6
2009,113.1
2010,160.4
2011,86.3
2012,82.7
2013,129.1
2014,77
2015,88.2
2016,65
2017,56
2018,81
2019,100.6
2020,35.3
