UF,MT
Cidade,LUCIARA
Nome Posto,LUCIARA
Latitude,-11.219166666666666
Longitude,-50.66861111111111
Codigo,1050000
Qtd. Anos,39
Ano,Maxima
1969,25.2
1970,47
1971,40.5
1984,98
1985,125.3
1986,88
1987,75.8
1988,110.2
1989,71.8
1990,84.8
1991,75.8
1992,79.8
1993,51.6
1994,78.3
1995,78.8
1996,88.8
1997,112.6
1998,113.3
1999,125.5
2000,115.8
2001,87.8
2002,215.6
2003,87.5
2004,80
2005,76.2
2006,123.3
2007,46.7
2008,50
2009,51.2
2010,51.9
2011,79.2
2012,111.2
2013,206.7
2014,103.2
2015,69.2
2016,93.2
2017,68.6
2018,126.2
2019,88.7
