UF,MT
Cidade,MARCELANDIA
Nome Posto,AGROPECUARIA CAJABI
Latitude,-10.74611111111111
Longitude,-54.54611111111111
Codigo,1054000
Qtd. Anos,41
Ano,Maxima
1976,84
1977,98
1978,85
1979,63.6
1980,115.8
1981,89.2
1982,93.8
1983,144
1984,45
1985,127.4
1986,83.6
1987,90.6
1988,78.2
1989,92.1
1993,65.4
1994,109.9
1995,81
1996,184
1997,123.4
1998,145.6
1999,112
2000,80
2001,85.8
2002,145
2003,59
2004,116.9
2005,83.3
2006,137.3
2007,76.8
2008,115.7
2009,83.6
2010,62.6
2011,94.3
2012,103.6
2013,70.2
2014,87.2
2015,84
2016,84.9
2017,91.7
2018,109.1
2019,93.9
