UF,MT
Cidade,NOVA MONTE VERDE
Nome Posto,TRIVELATO
Latitude,-9.941666666666666
Longitude,-57.13305555555556
Codigo,1057001
Qtd. Anos,37
Ano,Maxima
1982,72.3
1983,85
1984,60
1985,99
1986,102.4
1987,80
1988,100
1989,115
1990,75.8
1992,70
1993,100.8
1994,56
1995,109
1996,81
1997,151.2
1998,126.4
1999,102.6
2000,74.6
2001,101
2002,98.3
2003,143
2004,91.3
2005,106
2006,96.7
2007,86
2008,109.8
2009,81.6
2010,118.5
2011,87.9
2012,128.8
2013,126.4
2014,116.1
2015,95.8
2016,95.4
2017,110
2018,93.6
2019,98.3
