UF,MT
Cidade,CHAPADA DOS GUIMARAES
Nome Posto,USINA CASCA III PR2
Latitude,-15.365555555555556
Longitude,-55.43694444444444
Codigo,1555007
Qtd. Anos,35
Ano,Maxima
1982,47.1
1983,124
1984,50.2
1985,77.3
1986,88.3
1987,80
1988,136
1989,100.2
1990,104
1991,74.5
1992,77.8
1993,145
1994,125
1995,117
1996,150
1997,78.3
1998,145
1999,82.9
2000,137.2
2001,86.9
2002,85.9
2003,100.7
2004,62.1
2005,117.3
2006,81.1
2007,58.2
2008,76.4
2009,75.2
2010,76.7
2011,63.1
2012,72.9
2013,62.3
2014,143.4
2015,151.3
2016,174.5
