UF,MT
Cidade,ACORIZAL
Nome Posto,ACORIZAL
Latitude,-15.206666666666665
Longitude,-56.36555555555556
Codigo,1556005
Qtd. Anos,48
Ano,Maxima
1969,28
1970,55
1971,54
1972,81.1
1973,105.1
1974,79
1975,75.4
1976,85.6
1977,69.8
1978,82
1979,63.4
1980,58.8
1981,42.4
1982,68.4
1983,57.2
1984,65.8
1985,58.5
1986,74.2
1987,134.8
1988,121.8
1989,95.4
1990,91.6
1991,45.2
1992,119.4
1993,180.6
1994,64
1995,76.2
1996,70.8
1997,63.3
1998,83.4
1999,55.5
2000,87.5
2001,101
2002,117
2003,85.1
2004,73.3
2005,66.3
2006,96.7
2007,72.4
2008,77.4
2009,72.1
2010,85.7
2011,90.9
2012,146.1
2013,98.1
2014,113.3
2015,64.3
2016,37.8
