UF,MT
Cidade,CANARANA
Nome Posto,GARAPU
Latitude,-13.495555555555555
Longitude,-52.45444444444445
Codigo,1352001
Qtd. Anos,35
Ano,Maxima
1985,63.3
1986,74
1987,55
1988,106.3
1989,53.4
1990,102.2
1991,116.3
1992,89.4
1993,101.3
1994,133.2
1995,126.4
1996,156.5
1997,162.8
1998,51.8
1999,86.7
2000,107.7
2001,106.5
2002,113.8
2003,73.9
2004,180.5
2005,120.5
2006,83.9
2007,115.2
2008,66.9
2009,90.5
2010,99.5
2011,80.9
2012,85.3
2013,134.1
2014,99.3
2015,63.7
2016,141.6
2017,106.8
2018,184.5
2019,95.1
