UF,MT
Cidade,RIBEIRAO CASCALHEIRA
Nome Posto,DIVINEA
Latitude,-12.939722222222223
Longitude,-51.82638888888889
Codigo,1251001
Qtd. Anos,38
Ano,Maxima
1982,71
1983,120.4
1984,68.2
1985,74.5
1986,66.2
1987,53.4
1988,147.2
1989,83
1990,110
1991,92.8
1992,59.4
1993,70.3
1994,78.2
1995,70
1996,50
1997,40
1998,61.3
1999,156.7
2000,119.9
2001,65.3
2002,69.3
2003,91.8
2004,80.7
2005,109.6
2006,70
2007,71.1
2008,51.9
2009,74.9
2010,145.6
2011,25.3
2012,88.2
2013,93.4
2014,115.7
2015,55
2016,104.1
2017,106.6
2018,142.5
2019,70
