UF,MT
Cidade,ITIQUIRA
Nome Posto,SANTO ANTONIO DO PARAISO
Latitude,-17.491666666666667
Longitude,-55.23222222222223
Codigo,1755000
Qtd. Anos,41
Ano,Maxima
1969,134
1970,46
1971,58
1972,83
1976,91.8
1977,223.2
1978,96.4
1979,107
1980,106.4
1981,55.6
1982,66.8
1983,114
1989,72
1991,64
1992,65
1993,96
1994,66
1995,132
1996,104.6
1997,101
1998,82.7
1999,65.3
2000,121.7
2001,58.8
2002,42.5
2003,85.9
2004,86.4
2005,87
2006,80.6
2007,111
2008,68.9
2009,84
2010,112.3
2011,135.2
2012,64
2013,108.1
2014,125
2015,119.7
2016,75.1
2017,80.7
2018,40
