UF,MT
Cidade,FELIZ NATAL
Nome Posto,NUCLEO COLONIAL RIO FERRO
Latitude,-12.517777777777779
Longitude,-54.9125
Codigo,1255002
Qtd. Anos,42
Ano,Maxima
1976,76
1977,89.8
1978,80.9
1979,70
1980,75
1981,57.8
1982,83.2
1983,96
1984,76.2
1985,75
1986,48
1987,70.7
1988,110
1989,32
1992,99.1
1993,84.3
1994,97.4
1995,98
1996,80.3
1997,86.2
1998,83.6
1999,108.1
2000,71.9
2001,64.3
2002,81.2
2003,106.5
2004,120.5
2005,105.5
2006,65.9
2007,78.3
2008,138
2009,104.5
2010,90.8
2011,88.5
2012,59.9
2013,96.8
2014,91.6
2015,101.7
2016,142.7
2017,99.2
2018,123.2
2019,27.8
