UF,MT
Cidade,SAO FELIX DO ARAGUAIA
Nome Posto,SAO FELIX DO ARAGUAIA
Latitude,-11.619722222222222
Longitude,-50.6625
Codigo,1150001
Qtd. Anos,46
Ano,Maxima
1974,91.4
1975,63.2
1976,106.2
1977,83.4
1978,145.3
1979,157.3
1980,201.2
1981,65.2
1982,108.2
1983,60
1984,100
1985,95.7
1986,86.2
1987,137.9
1988,123.5
1989,95.7
1990,99
1991,88.4
1992,96.2
1993,93.1
1994,97.3
1995,74.3
1996,112
1997,156
1998,60.7
1999,114
2000,92.6
2001,111.5
2002,104.9
2003,173
2004,209
2005,78.6
2006,105.2
2007,47.4
2008,79.5
2009,109.2
2010,78.1
2011,107.7
2012,98.3
2013,81.1
2014,162.1
2015,104.5
2016,104.8
2017,107.4
2018,156.2
2019,163.7
