UF,MT
Cidade,CHAPADA DOS GUIMARAES
Nome Posto,CHAPADA DOS GUIMARAES
Latitude,-15.46888888888889
Longitude,-55.72888888888889
Codigo,1555001
Qtd. Anos,47
Ano,Maxima
1968,49
1969,85
1970,84.6
1971,124
1972,110.4
1973,140
1974,122.8
1975,86.6
1976,98
1977,84
1978,104.2
1979,74
1980,114.6
1981,109
1982,102
1983,103.6
1984,53.6
1987,132.4
1988,119.6
1989,142.4
1990,88.2
1991,96
1992,123.2
1993,130.4
1994,86.8
1995,147.2
1996,105.2
1997,82.5
1998,80.9
1999,127.8
2000,81.7
2001,85.7
2002,99.5
2003,87.6
2004,97.5
2005,112.5
2006,100.2
2007,130.2
2008,120.1
2009,92.3
2010,132.9
2011,201.9
2012,116.8
2013,126.9
2014,225.9
2015,106.4
2016,98.4
