UF,MT
Cidade,TORIXOREU
Nome Posto,TORIXOREU
Latitude,-16.20138888888889
Longitude,-52.55
Codigo,1652002
Qtd. Anos,47
Ano,Maxima
1974,58.6
1975,100.3
1976,58.6
1977,70.2
1978,95.8
1979,78
1980,201
1981,98
1982,125.6
1983,154.4
1984,144.8
1985,163.6
1986,79.2
1987,75.5
1988,74.6
1989,69.4
1990,92.4
1991,91.2
1992,79.9
1993,50.4
1994,64.8
1995,66.1
1996,87
1997,98.9
1998,58.6
1999,139.4
2000,99.7
2001,73.1
2002,72.3
2003,68.7
2004,188.6
2005,68.7
2006,57.4
2007,63.3
2008,83.1
2009,92.5
2010,103
2011,80
2012,90.2
2013,59
2014,76.6
2015,39
2016,66.7
2017,97.2
2018,65
2019,62.1
2020,49.9
