UF,MT
Cidade,COMODORO
Nome Posto,PADRONAL
Latitude,-13.183055555555555
Longitude,-59.87694444444445
Codigo,1359000
Qtd. Anos,37
Ano,Maxima
1983,98.4
1984,78
1985,89
1986,68
1987,50
1988,51
1989,57.4
1990,90.6
1991,87.5
1992,101
1993,20.2
1994,135.9
1995,145
1996,139.4
1997,124.9
1998,82.5
1999,75.8
2000,99.4
2001,89.5
2002,72.1
2003,129.2
2004,71.5
2005,68.6
2006,67.7
2007,105
2008,93.5
2009,73.9
2010,78.7
2011,72
2012,131
2013,111.3
2014,102.5
2015,116.9
2016,87.4
2017,111.9
2018,94.5
2019,74.3
