UF,MT
Cidade,BARRA DO GARCAS
Nome Posto,PINDAIBA
Latitude,-15.035555555555556
Longitude,-52.237500000000004
Codigo,1552006
Qtd. Anos,35
Ano,Maxima
1985,74.5
1986,98.4
1987,80.5
1988,148
1989,67.2
1990,30.8
1991,71.4
1992,123.7
1993,130.9
1994,105.7
1995,85.5
1996,62.5
1997,128.3
1998,111.3
1999,92.6
2000,90.1
2001,83.4
2002,66.5
2003,86.6
2004,70
2005,138.7
2006,67.7
2007,50
2008,72.3
2009,117.7
2010,44.6
2011,56.4
2012,70.8
2013,117.1
2014,75.1
2015,85.9
2016,70.7
2017,101.2
2018,109.7
2019,54.9
