UF,MT
Cidade,DIAMANTINO
Nome Posto,DIAMANTINO
Latitude,-14.405833333333334
Longitude,-56.44638888888888
Codigo,1456005
Qtd. Anos,46
Ano,Maxima
1961,91.4
1962,93.2
1963,139.2
1964,100.4
1965,99.6
1968,72.5
1969,70.8
1970,105.3
1971,54.4
1972,81.8
1973,83.2
1974,70.4
1975,82
1976,123.2
1977,67.2
1978,71.8
1979,194
1980,104
1981,85
1982,64.2
1983,85.2
1984,95
1985,67
1986,105.4
1987,91.2
1988,68.4
1989,59.6
1990,86
1991,109.7
1992,95
1993,63.8
1994,103
1995,121
1998,121
1999,80.1
2000,85.6
2001,85
2002,70
2003,111.5
2004,93.2
2005,120
2006,95.7
2007,140
2008,93.9
2009,75.7
2010,130
