UF,MT
Cidade,VARZEA GRANDE
Nome Posto,SECO (FAZENDA SECO)
Latitude,-15.635277777777777
Longitude,-56.611666666666665
Codigo,1556006
Qtd. Anos,47
Ano,Maxima
1970,113.4
1971,88.7
1972,81.8
1973,85
1974,97.6
1975,73.4
1976,76.6
1977,69.6
1978,50
1979,109.9
1980,71.5
1981,69.3
1982,57.4
1983,59.3
1984,59.8
1985,68.3
1986,52.8
1987,246.4
1988,279.1
1989,45.2
1993,63
1994,67
1995,97
1996,68
1997,55
1998,59.2
1999,55.4
2000,69
2001,57.7
2002,72.8
2003,73.3
2004,57
2005,57.2
2006,63.5
2007,82.4
2008,70.5
2009,93.2
2010,80
2011,65.9
2012,60.4
2013,60
2014,50
2015,60
2016,76.7
2017,83.7
2018,70
2019,52.2
