UF,MT
Cidade,RIO BRANCO
Nome Posto,COLONIA RIO BRANCO
Latitude,-15.245277777777776
Longitude,-58.11333333333334
Codigo,1558000
Qtd. Anos,37
Ano,Maxima
1971,59.6
1972,60
1976,97.1
1977,110
1978,99.4
1979,140
1983,92.3
1989,75.2
1991,55
1992,59.7
1993,56.6
1994,66.1
1995,72.8
1996,98.4
1997,57.6
1998,102.9
1999,68.4
2000,64.2
2001,76.5
2002,55.7
2003,90.5
2004,69.2
2005,57.6
2006,67.4
2007,85.2
2008,85.5
2009,64.2
2010,49.1
2011,121.1
2012,112.5
2013,51.7
2014,97.2
2015,76.3
2016,45.7
2017,100.6
2018,91.4
2019,59.3
