UF,MT
Cidade,PORTO ALEGRE DO NORTE
Nome Posto,PORTO ALEGRE DO NORTE
Latitude,-10.867222222222223
Longitude,-51.63055555555555
Codigo,1051001
Qtd. Anos,37
Ano,Maxima
1983,37.4
1984,91.9
1985,69.8
1986,106.2
1987,147.6
1988,101.4
1989,92.2
1990,107.3
1991,71.4
1992,101.9
1993,109.9
1994,112.2
1995,113.2
1996,70.9
1997,133.8
1998,94.5
1999,134.5
2000,160.5
2001,83.2
2002,93.3
2003,64.5
2004,107.5
2005,103.3
2006,110.7
2007,62.6
2008,79.5
2009,101.5
2010,105
2011,127.2
2012,78.7
2013,110.5
2014,48.2
2015,111.2
2016,86.7
2017,106.7
2018,125.5
2019,69.5
