UF,MT
Cidade,SANTO ANTONIO DO LEVERGER
Nome Posto,ACIMA DO CORREGO GRANDE
Latitude,-16.608055555555556
Longitude,-55.20638888888889
Codigo,1655001
Qtd. Anos,39
Ano,Maxima
1972,68.4
1973,230.8
1974,213.6
1975,41
1976,114
1977,64.4
1978,47.2
1979,79.5
1980,58.4
1981,141
1982,19.8
1983,84.8
1993,62.3
1994,77
1995,80.7
1996,67
1997,64.3
1998,95.3
1999,66.6
2000,66.2
2001,98.4
2002,91.7
2003,61.2
2004,87.8
2005,87.4
2006,89.6
2007,58.3
2008,67.8
2009,92.2
2010,79.7
2011,86.1
2012,75.7
2013,71.7
2014,59
2015,46.6
2016,46
2017,69
2018,45.8
2019,46.6
