UF,MT
Cidade,AGUA BOA
Nome Posto,AGUA BOA
Latitude,-14.07638888888889
Longitude,-52.150277777777774
Codigo,1452004
Qtd. Anos,38
Ano,Maxima
1982,47
1983,115.2
1984,60.7
1985,66.8
1986,110.8
1987,56.8
1988,100
1989,69.8
1990,86.4
1991,75
1992,75.4
1993,204
1994,106.1
1995,61.5
1996,95.9
1997,77.7
1998,122.5
1999,74.5
2000,83.2
2001,94.2
2002,64.8
2003,86.5
2004,79.1
2005,115
2006,171.6
2007,126
2008,121
2009,68.7
2010,91.4
2011,139.6
2012,71.9
2013,67.4
2014,108.2
2015,99.3
2016,79
2017,118.7
2018,89
2019,82.9
