UF,MT
Cidade,DIAMANTINO
Nome Posto,DECIOLANDIA
Latitude,-14.183333333333334
Longitude,-57.50694444444444
Codigo,1457003
Qtd. Anos,38
Ano,Maxima
1982,167
1983,87.7
1984,94.2
1985,48.6
1986,66.8
1987,108.2
1988,128.2
1989,91
1990,110
1991,82.5
1992,164.4
1993,77.7
1994,90
1995,130.3
1996,96.5
1997,133
1998,60
1999,103.3
2000,80.2
2001,55.2
2002,98.3
2003,110.5
2004,220.3
2005,117.8
2006,182.6
2007,179.4
2008,108.1
2009,66.7
2010,105
2011,75
2012,375
2013,117
2014,93.1
2015,51.3
2016,69.2
2017,76.5
2018,50
2019,91
