UF,MT
Cidade,ALTA FLORESTA
Nome Posto,JUSANTE FOZ PEIXOTO DE AZEVEDO
Latitude,-9.643333333333333
Longitude,-56.01861111111111
Codigo,956001
Qtd. Anos,36
Ano,Maxima
1980,76.3
1981,76.1
1982,70.6
1983,100
1984,77
1985,150.2
1986,140.3
1987,84.2
1989,51.7
1993,96.8
1994,93
1995,123.4
1996,118.7
1997,92.2
1998,82.5
1999,139.8
2000,110.6
2001,99.4
2002,97.4
2003,136.2
2004,84.3
2005,86.4
2006,115.8
2007,61.5
2008,51.1
2009,78.1
2010,78.7
2011,98.3
2012,84
2013,131.2
2014,128.5
2015,86.1
2016,97.9
2017,89.6
2018,100
2019,72.1
