UF,MT
Cidade,BARRA DO GARCAS
Nome Posto,TORIQUEJE
Latitude,-15.250277777777777
Longitude,-53.055277777777775
Codigo,1552002
Qtd. Anos,49
Ano,Maxima
1971,41.2
1972,79.8
1973,50.2
1974,145.2
1975,71.2
1976,132.8
1977,50
1978,75
1979,171
1980,74.2
1981,164
1982,188.2
1983,60.4
1984,124.3
1985,105.2
1986,81.1
1987,64.6
1988,113.6
1989,70.6
1990,71
1991,67.2
1992,92.8
1993,91.2
1994,78.4
1995,167.7
1996,89.1
1997,129.9
1998,104.4
1999,109.8
2000,76.7
2001,61.3
2002,62.8
2003,108.1
2004,76.3
2005,70.5
2006,84.7
2007,79.9
2008,113.6
2009,69.3
2010,130.2
2011,71
2012,59.6
2013,139
2014,60
2015,67.4
2016,92.3
2017,80
2018,72.1
2019,142.3
