UF,MT
Cidade,NOVO SANTO ANTONIO
Nome Posto,SANTO ANTONIO DO LEVERGER
Latitude,-12.290277777777778
Longitude,-50.96555555555556
Codigo,1250001
Qtd. Anos,50
Ano,Maxima
1969,89
1970,97.8
1971,85.6
1972,113
1973,118
1974,94.6
1975,99.8
1976,76.2
1977,82.6
1978,92.8
1979,78
1980,90
1981,75
1982,50.4
1983,65.8
1984,75.4
1985,108.8
1986,138.8
1987,138.6
1988,125.4
1989,92.4
1990,107.2
1992,66.6
1993,52.9
1994,98
1995,103
1996,72.5
1997,95.5
1998,55.1
1999,127.7
2000,72.5
2001,134.5
2002,124.4
2003,93.8
2004,106.3
2005,85
2006,98.6
2007,58.5
2008,95.8
2009,8.7
2010,109
2011,98.3
2012,77.3
2013,95.7
2014,100.2
2015,72.5
2016,120.4
2017,76.2
2018,88.1
2019,78.3
