UF,MT
Cidade,SORRISO
Nome Posto,TELES PIRES
Latitude,-12.674999999999999
Longitude,-55.793055555555554
Codigo,1255001
Qtd. Anos,37
Ano,Maxima
1976,99
1977,72.1
1978,73.4
1979,70.4
1980,104.8
1984,56.3
1985,59.3
1986,60
1987,88.2
1988,104
1989,42.8
1990,97.3
1996,53.5
1997,79
1998,146.2
1999,57.8
2000,57.2
2001,415.8
2002,131.9
2003,133.3
2004,70.7
2005,107.6
2006,83.7
2007,102.5
2008,91.8
2009,89.5
2010,136.5
2011,120.5
2012,72.4
2013,58.8
2014,91
2015,105.5
2016,128.1
2017,76.3
2018,75.8
2019,69.3
2020,115.9
