UF,MT
Cidade,POCONE
Nome Posto,POCONE
Latitude,-16.314722222222223
Longitude,-56.54361111111111
Codigo,1656002
Qtd. Anos,49
Ano,Maxima
1968,84.5
1969,98.5
1970,74.3
1971,91.4
1972,83
1973,80
1974,72.8
1975,60.4
1976,146.6
1977,71.6
1978,106.2
1979,63
1980,59.8
1981,91.8
1982,106.8
1983,79
1984,57.6
1985,48
1986,62
1987,55.1
1988,119
1992,39.8
1993,70.6
1994,75.6
1995,63
1996,84.1
1997,137.6
1998,55.9
1999,98.6
2000,72.8
2001,69.5
2002,59.4
2003,114.1
2004,66.4
2005,87.7
2006,69.6
2007,67.7
2008,110.3
2009,99.1
2010,97
2011,106.3
2012,102
2013,106.8
2014,113.4
2015,90.3
2016,80.1
2017,72.9
2018,97
2019,77.7
