UF,MT
Cidade,MIRASSOL D'OESTE
Nome Posto,PONTE CABACAL MT-125
Latitude,-15.469166666666666
Longitude,-57.89416666666666
Codigo,1558001
Qtd. Anos,40
Ano,Maxima
1972,65.3
1974,55.9
1975,53.3
1976,63.9
1977,59.6
1978,46
1979,141.4
1980,84.6
1981,70
1982,105.2
1983,76.3
1989,54
1992,69.8
1993,78.7
1994,49.9
1995,76.6
1996,55.7
1997,122.8
1998,102.1
1999,91.3
2000,79
2001,70
2002,79
2003,81.7
2004,112.3
2005,167.5
2006,89.6
2007,98.8
2008,74.9
2009,114.3
2010,142
2011,59.5
2012,67.7
2013,57.1
2014,77.4
2015,64.3
2016,78.9
2017,57.2
2018,75.7
2019,98
