UF,MT
Cidade,NOVA MARINGA
Nome Posto,NOVA MARINGA
Latitude,-13.066111111111113
Longitude,-57.11333333333334
Codigo,1357000
Qtd. Anos,38
Ano,Maxima
1982,64.8
1983,75
1984,84
1985,46.5
1986,123
1987,165.3
1988,108.4
1989,56.9
1990,109
1992,98.5
1993,97.8
1994,96.8
1995,93
1996,109.4
1997,66
1998,73.2
1999,113
2000,146
2001,77.5
2002,122
2003,135
2004,98
2005,76
2006,118
2007,154.5
2008,111.5
2009,106.5
2010,110.6
2011,112.8
2012,60.5
2013,84.4
2014,120
2015,62.5
2016,82.5
2017,95.5
2018,81.5
2019,58.7
2020,33.3
