UF,MT
Cidade,CHAPADA DOS GUIMARAES
Nome Posto,UHE MANSO MONTANTE
Latitude,-14.81
Longitude,-55.27638888888889
Codigo,1455004
Qtd. Anos,43
Ano,Maxima
1970,49.5
1971,89.7
1972,60.6
1973,293
1974,106.3
1975,113.4
1976,76.3
1978,101
1979,88.6
1980,120.5
1981,71.5
1982,62.2
1983,93.1
1984,133.6
1985,57.2
1986,95
1987,45.5
1988,70
1990,34.3
1991,86.2
1994,74.6
1995,68.4
1996,68.2
1997,90.9
1998,84.2
1999,87.7
2000,59.5
2001,93.4
2002,101.1
2003,59.5
2004,73.1
2005,74
2006,63.3
2007,78.6
2008,123.8
2009,75.8
2010,82.8
2011,12.6
2012,38.2
2013,64.8
2014,41.8
2015,39.2
2016,44.6
