UF,MT
Cidade,PORTO DOS GAUCHOS
Nome Posto,PORTO DOS GAUCHOS
Latitude,-11.535833333333333
Longitude,-57.41722222222222
Codigo,1157000
Qtd. Anos,43
Ano,Maxima
1973,112
1974,83.2
1975,75.3
1976,90.1
1977,114.5
1978,67.3
1979,72.2
1980,116.7
1981,64.4
1982,75.2
1983,85.6
1984,96.6
1985,166.6
1986,158.5
1987,74.2
1988,96
1989,111.8
1990,84.8
1994,75.4
1995,62
1996,94
1997,116
1998,42.8
1999,76.1
2000,79.4
2001,68.7
2002,78.2
2003,76.6
2004,131.7
2005,93.1
2006,83.2
2007,105.3
2008,98.1
2009,94.2
2010,98.2
2011,95.2
2014,67.5
2015,80.2
2016,58
2017,113
2018,104
2019,88
2020,107.5
