UF,MT
Cidade,DIAMANTINO
Nome Posto,PARECIS (BR-364)
Latitude,-14.15638888888889
Longitude,-56.933055555555555
Codigo,1456009
Qtd. Anos,48
Ano,Maxima
1970,66
1971,266
1972,70.2
1973,95.1
1974,103
1975,75
1976,38
1977,75
1978,91
1979,53
1980,60.4
1981,119.1
1982,75
1983,64
1984,91.6
1985,146.8
1986,105
1987,87
1988,91
1989,92
1993,33.4
1994,68.4
1995,67
1996,79.2
1997,120.2
1998,110
1999,120.5
2000,71.3
2001,87.6
2002,107
2003,76.1
2004,72.3
2005,76.6
2006,104.4
2007,97.3
2008,104.5
2009,81.3
2010,131.1
2011,77.2
2012,107.6
2013,85
2014,144.9
2015,113.1
2016,77.1
2017,115
2018,59
2019,86
2020,53.4
