UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,BARAO DE MELGACO
Latitude,-16.19361111111111
Longitude,-55.945277777777775
Codigo,1655002
Qtd. Anos,52
Ano,Maxima
1968,100.2
1969,96.8
1970,108
1971,57.2
1972,58.6
1973,75
1974,68.2
1975,55
1976,100.2
1977,114
1978,92
1979,110
1980,72
1981,106
1982,129
1983,135
1984,128.4
1985,125.4
1986,139.3
1987,65.3
1988,72.4
1989,68
1990,84
1991,65.3
1992,42.1
1993,50.1
1994,84.2
1995,137.7
1996,156.8
1997,122
1998,73.8
1999,143.8
2000,74.3
2001,53.7
2002,67.1
2003,80.9
2004,79.3
2005,114.7
2006,70.8
2007,105.7
2008,76.1
2009,81.1
2010,77
2011,92.3
2012,98.1
2013,100.5
2014,75.5
2015,137.5
2016,108.5
2017,89
2018,89
2019,82.3
