UF,MT
Cidade,MARCELANDIA
Nome Posto,FAZENDA SANTA EMILIA
Latitude,-10.539166666666667
Longitude,-53.60888888888889
Codigo,1053001
Qtd. Anos,37
Ano,Maxima
1976,101
1977,105.9
1978,103.6
1979,126
1980,110.6
1981,99.2
1982,91.8
1983,108.6
1984,77.2
1985,85
1986,155
1987,310
1988,58
1994,49
1995,77
1996,85
1997,52.1
1998,74.6
1999,87.9
2000,74.1
2001,150.6
2003,56.3
2004,63.2
2005,65
2006,141.4
2007,94
2008,62.7
2009,89.3
2010,99.7
2011,71.5
2012,77.7
2013,70.1
2014,80
2015,60
2016,95
2017,87
2018,97
