UF,MT
Cidade,VILA BELA DA SANTISSIMA TRINDADE
Nome Posto,FAZENDA AREIAO
Latitude,-15.400277777777777
Longitude,-60.031666666666666
Codigo,1560000
Qtd. Anos,34
Ano,Maxima
1986,91.4
1987,65.4
1988,108.8
1989,100.2
1990,80.9
1991,96.8
1992,68.4
1993,45.6
1994,108.3
1995,68.2
1996,107.1
1997,53
1998,45.4
1999,44.6
2000,71.3
2001,71.8
2002,53.8
2003,69.8
2004,69.4
2005,76.2
2006,73.7
2007,98.1
2008,59
2009,100
2010,150.8
2011,75.4
2012,60.4
2013,52.7
2014,76
2015,52.3
2016,103.8
2017,53.5
2018,26.7
2019,65.3
