UF,MT
Cidade,TESOURO
Nome Posto,TESOURO
Latitude,-16.076666666666668
Longitude,-53.551111111111105
Codigo,1653000
Qtd. Anos,49
Ano,Maxima
1971,147
1972,60.4
1973,73.6
1974,76.4
1975,100.2
1976,85.2
1977,81.6
1978,76.4
1979,117.3
1980,121.4
1981,109.3
1982,94
1983,87
1984,85
1985,145
1986,125
1987,100
1988,173
1989,68.3
1990,110
1991,42
1992,40.7
1993,120.9
1994,116.2
1995,127.5
1996,67.8
1997,146.8
1998,96.8
1999,149.3
2000,112.4
2001,80.9
2002,83.6
2003,100.7
2004,93.7
2005,94.2
2006,98.4
2007,124.8
2008,88.8
2009,76.4
2010,80.2
2011,96.5
2012,86.3
2013,126.4
2014,74.2
2015,140.2
2016,102.9
2017,75.9
2018,78.1
2019,68.9
