UF,MT
Cidade,PORTO ESPERIDIAO
Nome Posto,PORTO ESPERIDIAO
Latitude,-15.853333333333333
Longitude,-58.465833333333336
Codigo,1558005
Qtd. Anos,47
Ano,Maxima
1965,14
1966,83
1967,81.1
1968,54.3
1969,66.1
1970,95.1
1971,92.8
1972,139.8
1976,125.6
1977,63.8
1978,93.2
1979,124.2
1980,85.8
1981,56
1982,88.5
1983,91.8
1989,74.4
1990,72
1991,54.6
1992,64
1993,51
1994,102
1995,78.7
1996,98.3
1997,69
1998,96.4
1999,73.6
2000,72.4
2001,76.2
2002,93.2
2003,70
2004,100.2
2005,78.6
2006,77.7
2007,107.5
2008,51.5
2009,70.1
2010,107.7
2011,70.3
2012,75.5
2013,97.1
2014,67.9
2015,47.3
2016,80.3
2017,133.6
2018,96.7
2019,53
