UF,MT
Cidade,ALTA FLORESTA
Nome Posto,ALTA FLORESTA
Latitude,-9.870277777777778
Longitude,-56.102222222222224
Codigo,956000
Qtd. Anos,40
Ano,Maxima
1978,55.6
1979,84
1980,182
1981,147
1982,81.2
1983,89.6
1984,63
1985,98.6
1986,84
1987,108.3
1988,80.4
1989,146.7
1990,106
1991,95.8
1992,59
1993,121.8
1994,134.5
1995,125.5
1996,80.8
1997,94
1998,93.4
1999,104.8
2000,127
2001,114.6
2002,66.4
2003,102.5
2004,94.9
2005,100.2
2006,121.5
2007,79.1
2008,172.1
2009,138.2
2010,81.7
2011,136.5
2014,110.9
2015,70.4
2016,99.7
2017,153.9
2018,126.9
2019,98.3
