UF,MT
Cidade,CUIABA
Nome Posto,NOSSA SENHORA DA GUIA
Latitude,-15.355
Longitude,-56.23166666666667
Codigo,1556000
Qtd. Anos,49
Ano,Maxima
1971,93.7
1972,87.3
1973,112
1974,84
1975,85
1976,72
1977,128
1978,156
1979,170
1980,180
1981,160
1982,142
1983,188
1984,68.4
1985,60
1986,131
1987,84
1988,83
1989,75
1990,91
1991,92
1992,125.5
1993,151.6
1994,73.8
1995,126.2
1996,78.4
1997,73.1
1998,62.8
1999,73.6
2000,159.2
2001,84.5
2002,90
2003,88.1
2004,77.6
2005,60.1
2006,101.3
2007,77.1
2008,110
2009,75.8
2010,85.8
2011,75.7
2012,110.7
2013,120.8
2014,121.8
2015,80.8
2016,77.1
2017,80.8
2018,92.9
2019,49.8
