UF,MT
Cidade,PRIMAVERA DO LESTE
Nome Posto,RIO DAS MORTES
Latitude,-15.314722222222223
Longitude,-54.17583333333333
Codigo,1554005
Qtd. Anos,44
Ano,Maxima
1976,78
1977,50.2
1978,79.8
1979,70.5
1980,142
1981,89
1982,63
1983,94
1984,115
1985,76.2
1986,75
1987,97.3
1988,75
1989,230
1990,69.1
1991,57
1992,108.3
1993,83.5
1994,150
1995,95
1996,61
1997,128.7
1998,116
1999,68
2000,93
2001,90.3
2002,115
2003,152.2
2004,120.1
2005,73
2006,90
2007,75.4
2008,100
2009,80
2010,58
2011,92
2012,97
2013,90.3
2014,97.5
2015,120
2016,85.7
2017,147.5
2018,76.8
2019,57.3
