UF,MT
Cidade,JUARA
Nome Posto,JUARA
Latitude,-11.253055555555555
Longitude,-57.50666666666667
Codigo,1157001
Qtd. Anos,38
Ano,Maxima
1983,46.4
1984,57.4
1985,86
1986,82.6
1987,102
1988,122.4
1989,104.1
1990,116.6
1991,105.5
1992,78.6
1993,107
1994,67.4
1995,94.2
1996,80
1997,102
1998,186.4
1999,72
2000,80
2001,86
2002,128.4
2003,93.3
2004,81.2
2005,77.8
2006,78.1
2007,94.4
2008,70.1
2009,85.9
2010,190.4
2011,118.2
2012,92.6
2013,70.4
2014,60.7
2015,96.5
2016,70.7
2017,105.2
2018,78
2019,109.9
2020,72.5
