UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,SAO JERONIMO
Latitude,-17.201666666666664
Longitude,-56.00861111111111
Codigo,1755003
Qtd. Anos,42
Ano,Maxima
1971,72.8
1972,92
1974,75.7
1976,123.5
1977,130.9
1979,100.4
1980,88.1
1981,63
1982,94
1983,145.4
1984,75
1986,80
1987,100.4
1992,43.8
1993,170
1994,50
1995,85.6
1996,102
1997,135.9
1998,90.8
1999,79.5
2000,176
2001,85.3
2002,336
2003,94.1
2004,271
2005,126.6
2006,86.8
2007,50.8
2008,73.7
2009,89.5
2010,96.5
2011,76.4
2012,74.2
2013,72.3
2014,133
2015,53.5
2016,107
2017,56.5
2018,84.1
2019,62.2
2020,16.6
