UF,MT
Cidade,ALTO GARCAS
Nome Posto,ALTO GARCAS
Latitude,-16.944166666666668
Longitude,-53.53361111111111
Codigo,1653004
Qtd. Anos,44
Ano,Maxima
1976,104.5
1977,103.2
1978,100.2
1979,118.8
1980,101
1981,86.6
1982,56.2
1983,89.8
1984,70.6
1985,58.2
1986,65.8
1987,73
1988,75
1989,68.8
1990,74.2
1991,120.2
1992,35.5
1993,115.4
1994,63.3
1995,69.5
1996,81.2
1997,88.6
1998,54
1999,68.5
2000,101.2
2001,81.6
2002,92.4
2003,59.6
2004,79.5
2005,185
2006,72.3
2007,58.2
2008,75.3
2009,101.4
2010,67.8
2011,92.2
2012,70.9
2013,127.1
2014,84.5
2015,74.5
2016,69.3
2017,127.4
2018,66
2019,60.1
