UF,MT
Cidade,PEDRA PRETA
Nome Posto,SANTA ESCOLASTICA
Latitude,-16.843055555555555
Longitude,-54.408055555555556
Codigo,1654004
Qtd. Anos,44
Ano,Maxima
1973,61
1975,88.6
1977,91
1978,106
1979,141
1980,90
1981,52
1982,72
1983,96
1984,61.5
1986,68
1987,113
1988,82
1989,100.3
1990,60.1
1991,118
1992,140.2
1993,109
1994,63.9
1995,124
1996,80.7
1997,128
1998,122.5
1999,138.7
2000,91.9
2001,76.9
2002,95.1
2003,89.9
2004,81.3
2005,83.9
2006,52
2007,79.8
2008,106.5
2009,113.6
2010,56
2011,153.2
2012,169
2013,75.4
2014,97.3
2015,100.4
2016,97.3
2017,113.2
2018,71.6
2019,90.4
