UF,MT
Cidade,GUIRATINGA
Nome Posto,GUIRATINGA
Latitude,-16.352777777777778
Longitude,-53.76083333333333
Codigo,1653002
Qtd. Anos,51
Ano,Maxima
1968,32.2
1969,62.8
1970,70
1971,55
1972,167.1
1973,78
1974,184
1975,73.6
1976,90.2
1977,94.6
1978,113.6
1979,132
1980,80.9
1981,75.2
1982,85.9
1983,97
1984,107
1985,67.5
1986,110
1987,95
1988,96.2
1989,83
1990,60
1992,81.4
1993,82
1994,82
1995,58
1996,146.2
1997,117.8
1998,143
1999,64
2000,81.6
2001,91.6
2002,82.4
2003,77
2004,142.7
2005,95.5
2006,65.6
2007,86.6
2008,83.4
2009,70.2
2010,92.9
2011,85.2
2012,70.1
2013,83.8
2014,123
2015,65.8
2016,70.5
2017,83.2
2018,64.5
2019,52.3
