UF,MT
Cidade,CACERES
Nome Posto,CACERES
Latitude,-16.05
Longitude,-57.68333333333333
Codigo,1657000
Qtd. Anos,67
Ano,Maxima
1912,65.6
1913,92.2
1925,79.6
1926,124.3
1927,87.4
1928,62.5
1929,167
1930,75
1931,72
1932,79
1933,74
1934,70
1935,78
1936,82.5
1937,90
1938,56
1939,78.4
1940,80.1
1941,85
1942,74.6
1943,72.4
1944,65
1945,82
1946,91.2
1947,45.5
1948,66.6
1949,82
1950,81.4
1951,59
1952,62.6
1953,65.4
1954,109.5
1955,64.2
1956,102
1957,64
1958,105
1959,98
1960,116.8
1961,102.3
1962,110.8
1963,51
1964,78
1965,49
1966,34.8
1970,66
1971,70
1972,80
1975,78.2
1976,58
1977,64.8
1978,72.6
1979,105.4
1980,54
1981,85
1982,78.6
1983,90
1984,85.7
1985,67
1986,83.5
1987,66
1988,95
1989,63
1990,78.6
1994,52.3
1995,82.5
1998,121
1999,19.6
