UF,MT
Cidade,GENERAL CARNEIRO
Nome Posto,GENERAL CARNEIRO
Latitude,-15.71111111111111
Longitude,-52.754444444444445
Codigo,1552001
Qtd. Anos,35
Ano,Maxima
1985,63.2
1986,125.4
1987,72.4
1988,86.2
1989,71.1
1990,102.5
1991,63.7
1992,106.4
1993,103.5
1994,79.3
1995,130
1996,105.1
1997,126.5
1998,78.9
1999,89.2
2000,101.2
2001,80.1
2002,91.3
2003,91.8
2004,64.7
2005,78.8
2006,89.3
2007,98.9
2008,68.2
2009,96.2
2010,92.6
2011,64.5
2012,78.9
2013,144.1
2014,100
2015,77.2
2016,115.2
2017,98.3
2018,130
2019,91.3
