UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,SAO JOSE DO PIQUIRI
Latitude,-17.29138888888889
Longitude,-56.38472222222222
Codigo,1756001
Qtd. Anos,49
Ano,Maxima
1969,50.6
1970,72.2
1971,66.8
1972,75.2
1973,47
1974,66
1975,78.3
1976,73.6
1977,97.7
1978,12.2
1979,69.2
1980,88
1981,87
1983,88
1985,49.2
1986,89.2
1987,84.2
1989,77
1990,50
1991,95
1992,59
1993,100.8
1994,102.7
1995,124.5
1996,76.9
1997,124.4
1998,57.5
1999,72.4
2000,54.1
2001,76.4
2002,97
2003,107.9
2004,70
2005,103.9
2006,120.3
2007,105
2008,73.7
2009,60.8
2010,62.5
2011,96
2012,72.8
2013,93.7
2014,134
2015,67.4
2016,42.6
2017,23.1
2018,78.3
2019,56.6
2020,40
