UF,MT
Cidade,ALTO TAQUARI
Nome Posto,FAZENDA TAQUARI
Latitude,-17.811111111111114
Longitude,-53.288888888888884
Codigo,1853000
Qtd. Anos,52
Ano,Maxima
1969,50.8
1970,90.5
1971,39
1972,113.4
1973,112.8
1974,61.8
1975,67.3
1976,75.8
1977,42.8
1978,80.2
1979,121.6
1980,57.4
1981,77.2
1982,117.6
1983,64.8
1984,83.7
1985,101.1
1986,117.3
1987,72.7
1988,75
1989,168
1990,78
1991,130
1992,75
1993,52
1994,50.3
1995,130
1996,61.6
1997,67.1
1998,59.1
1999,59.7
2000,86.5
2001,73.2
2002,58.6
2003,52.6
2004,95.2
2005,49.7
2006,70.5
2007,107.8
2008,98.6
2009,145
2010,76.4
2011,108.4
2012,70.2
2013,134.6
2014,104.3
2015,65
2016,160.1
2017,113.8
2018,165.2
2019,252.8
2020,98
