UF,MT
Cidade,ARENAPOLIS
Nome Posto,ARENAPOLIS (CANAA)
Latitude,-14.469444444444445
Longitude,-56.85
Codigo,1456001
Qtd. Anos,50
Ano,Maxima
1971,111.6
1972,99.2
1973,109.6
1974,112.6
1975,84.5
1976,114.2
1977,71.2
1978,85
1979,75
1980,70.6
1981,78.4
1982,100.2
1983,130
1984,86.5
1985,50.6
1986,73.2
1987,101.3
1988,166.4
1989,95.8
1990,101.3
1991,88.9
1992,101.2
1993,102.6
1994,118.3
1995,81.6
1996,67.4
1997,165.3
1998,92.7
1999,67.5
2000,53.6
2001,86.1
2002,104.3
2003,132.1
2004,89.6
2005,95.4
2006,126.9
2007,86.7
2008,89.1
2009,107.8
2010,72.4
2011,50
2012,94.9
2013,97.1
2014,120.9
2015,104.9
2016,72.7
2017,134.7
2018,99.3
2019,112.6
2020,45
