UF,MT
Cidade,COMODORO
Nome Posto,VILA ALEGRE
Latitude,-13.778055555555556
Longitude,-59.7675
Codigo,1359001
Qtd. Anos,37
Ano,Maxima
1983,51.8
1984,66.1
1985,41.8
1986,101.6
1987,119
1988,70.3
1989,111.7
1990,43.6
1991,0.3
1992,78.6
1993,80.5
1994,93.4
1995,92.1
1996,74.3
1997,65.7
1998,87.1
1999,117.1
2000,72.4
2001,74.9
2002,86.6
2003,89.8
2004,63.3
2005,65.7
2006,103.5
2007,92.7
2008,75.1
2009,129.7
2010,96.6
2011,62.3
2012,75.1
2013,71.9
2014,66.1
2015,86.9
2016,93.2
2017,66.4
2018,127.6
2019,114.5
