UF,MT
Cidade,PARANATINGA
Nome Posto,PASSAGEM DA BR-309
Latitude,-14.611944444444443
Longitude,-53.99861111111111
Codigo,1453000
Qtd. Anos,44
Ano,Maxima
1976,100.2
1977,107.3
1978,99.3
1979,82.3
1980,106.1
1981,169.3
1982,93.2
1983,217.1
1984,72.2
1985,140.2
1986,64
1987,82.3
1988,108.2
1989,96.3
1990,83.3
1991,96.3
1992,189
1993,54.1
1994,95.1
1995,52
1996,121
1997,107.1
1998,60.5
1999,96.5
2000,125.7
2001,91.5
2002,99.3
2003,219.6
2004,82.3
2005,89.3
2006,106.2
2007,121.5
2008,106.4
2009,93.4
2010,80.2
2011,63.9
2012,52.3
2013,105.5
2014,120.5
2015,66.7
2016,88
2017,79.6
2018,107
2019,42
