UF,MT
Cidade,NOVA BRASILANDIA
Nome Posto,NOVA BRASILANDIA
Latitude,-14.92611111111111
Longitude,-54.97277777777778
Codigo,1454002
Qtd. Anos,36
Ano,Maxima
1983,53.2
1984,138.5
1985,120.4
1986,136.8
1987,126.4
1988,120.4
1989,62
1990,54
1992,32.3
1993,78.3
1994,66.8
1995,120.2
1996,75.8
1997,138.2
1998,123.2
1999,61
2000,66.4
2001,62.5
2002,71.1
2003,79.3
2004,68.1
2005,42.7
2006,46.5
2007,54.6
2008,89.3
2009,75
2010,77.2
2011,81.8
2012,78.9
2013,128.6
2014,88.2
2015,80.5
2016,78.5
2017,71.6
2018,106.5
2019,52.9
