UF,MT
Cidade,BARRA DO BUGRES
Nome Posto,BARRA DO BUGRES
Latitude,-15.076666666666666
Longitude,-57.1825
Codigo,1557001
Qtd. Anos,48
Ano,Maxima
1968,62
1969,150
1970,82
1971,66.4
1972,69
1976,87.8
1977,153.2
1978,108
1979,70
1980,62.6
1981,74
1982,104.8
1983,76.4
1984,76
1985,79.4
1986,55.4
1988,63.7
1989,72.6
1990,98.4
1991,87
1992,90.7
1993,86.5
1994,55.2
1995,123.3
1996,149
1997,67.8
1998,61.3
1999,121.2
2000,96.6
2001,83.9
2002,59.4
2003,121.5
2004,53.2
2005,78.9
2006,88.7
2007,62.5
2008,71.3
2009,108.4
2010,73
2011,59.3
2012,58.4
2013,53.6
2014,77.3
2015,119.6
2016,64.3
2017,127.8
2018,98.2
2019,79.3
