UF,MT
Cidade,ALTO ARAGUAIA
Nome Posto,ALTO ARAGUAIA
Latitude,-17.3
Longitude,-53.21944444444445
Codigo,1753000
Qtd. Anos,56
Ano,Maxima
1964,80.2
1965,176.4
1966,94.2
1967,70
1969,100
1970,60
1971,84.6
1972,110
1973,78
1974,107
1975,123
1976,55
1977,70
1978,79.4
1979,71.4
1980,116.6
1981,98
1982,60.2
1983,102.4
1984,133.6
1985,70.6
1986,87.8
1987,57.4
1988,89.2
1989,95
1990,64.6
1991,220
1992,79.3
1993,76.2
1994,100
1995,71
1996,155.1
1997,118.6
1998,89.7
1999,48.6
2000,84.3
2001,77.3
2002,53
2003,47
2004,96.2
2005,116.8
2006,107.5
2007,50.5
2008,102.3
2009,85.2
2010,124.1
2011,130.4
2012,57.5
2013,204.1
2014,91.3
2015,139.8
2016,62.3
2017,70.5
2018,54.8
2019,76.2
2020,40.6
