UF,MT
Cidade,ITIQUIRA
Nome Posto,ITIQUIRA
Latitude,-17.20777777777778
Longitude,-54.14
Codigo,1754000
Qtd. Anos,55
Ano,Maxima
1965,39
1966,144.8
1967,68.2
1968,67.8
1969,67.4
1970,79.6
1971,75.2
1972,68.4
1973,89.8
1974,105.6
1975,82.4
1976,77.6
1977,71.6
1978,73.6
1979,76.4
1980,95.6
1981,85.2
1982,72.4
1983,120.8
1984,132.6
1985,84.2
1986,87.3
1987,84.2
1988,167.2
1989,84.2
1990,89.4
1991,65.6
1992,56.2
1993,88.3
1994,65.4
1995,86.2
1996,82.2
1997,75.2
1998,121.2
1999,85.2
2000,85.2
2001,70.3
2002,108.3
2003,75.5
2004,56.4
2005,75.4
2006,55.2
2007,74.3
2008,80.2
2009,74.2
2010,84.2
2011,94.3
2012,120.3
2013,185
2014,78.2
2015,77.3
2016,75.2
2017,74.3
2018,49.2
2019,70.3
