UF,MT
Cidade,PORTO ESTRELA
Nome Posto,BARRANQUINHO
Latitude,-15.642222222222221
Longitude,-57.475
Codigo,1557003
Qtd. Anos,40
Ano,Maxima
1969,32.7
1970,105
1971,55.3
1972,89
1976,68.2
1977,40.2
1978,76
1979,108.9
1980,79.6
1981,97.9
1982,45.2
1983,66.4
1992,11.5
1993,43
1994,67.5
1995,75.5
1996,95
1997,75.6
1998,93.3
1999,142.7
2000,70
2001,122
2002,78.1
2003,85.2
2004,109
2005,123.2
2006,136.5
2007,113.1
2008,112
2009,100.6
2010,203.1
2011,75.1
2012,103
2013,54.5
2014,166.6
2015,79.7
2016,90.7
2017,95.3
2018,97.8
2019,69
