UF,MT
Cidade,PARANATINGA
Nome Posto,PARANATINGA
Latitude,-14.417777777777777
Longitude,-54.04944444444444
Codigo,1454000
Qtd. Anos,47
Ano,Maxima
1973,74
1974,85
1975,54
1976,100
1977,86
1978,87.6
1979,95.5
1980,85.4
1981,67
1982,66.2
1983,139.6
1984,98
1985,77.6
1986,127.3
1987,66.4
1988,108
1989,119.2
1990,97.7
1991,75.3
1992,70.6
1993,100.5
1994,139.9
1995,99.5
1996,163.3
1997,102.8
1998,114.9
1999,60.2
2000,113.3
2001,75.7
2002,71
2003,60
2004,114.6
2005,115.4
2006,72.5
2007,123.5
2008,79
2009,130
2010,118.5
2011,87.5
2012,97.3
2013,81.1
2014,152.4
2015,73
2016,73
2017,62.2
2018,101.3
2019,117
