UF,MT
Cidade,CACERES
Nome Posto,DESTACAMENTO DA CORIXA
Latitude,-16.394444444444446
Longitude,-58.33888888888889
Codigo,1658000
Qtd. Anos,42
Ano,Maxima
1968,73.2
1969,141.2
1970,104.4
1971,83
1972,79
1976,90
1977,84
1978,102.4
1979,81
1980,85.4
1981,157
1982,140
1983,35.5
1989,67.5
1992,35.5
1993,56.3
1994,97.8
1995,94.5
1996,190.5
1997,39.1
1998,163
1999,90.3
2000,110.2
2001,54
2002,75.3
2003,94.5
2004,67
2005,102.7
2006,82.3
2007,86.2
2008,94
2009,130.1
2010,113.7
2011,71
2012,77
2013,94.3
2014,67.7
2015,30.2
2016,69.5
2017,60.3
2018,36
2019,34.5
