UF,MT
Cidade,POCONE
Nome Posto,SAO JOAO
Latitude,-16.944166666666668
Longitude,-56.63194444444444
Codigo,1656004
Qtd. Anos,51
Ano,Maxima
1970,52.1
1971,84.6
1972,82.2
1973,61
1974,104.5
1975,135.2
1976,75.2
1977,96.2
1978,63
1979,65
1980,55
1981,109.6
1982,82.2
1983,106.6
1984,98
1985,86
1986,86
1987,74.8
1988,91.4
1989,151.4
1990,393
1991,125.2
1992,91.4
1993,71.6
1994,112.6
1995,81.6
1996,79.4
1997,109.2
1998,156.2
1999,95.5
2000,97.6
2001,68.2
2002,90
2003,84.6
2004,180
2005,67.1
2006,69.8
2007,43.5
2008,98.5
2009,78.5
2010,105.2
2011,110.5
2012,64.5
2013,65.2
2014,80.5
2015,67.5
2016,58.2
2017,108.7
2018,107.1
2019,168.4
2020,23.5
