UF,MT
Cidade,NORTELANDIA
Nome Posto,NORTELANDIA
Latitude,-14.45111111111111
Longitude,-56.814166666666665
Codigo,1456003
Qtd. Anos,49
Ano,Maxima
1971,95.4
1972,123.2
1973,64.2
1974,104.2
1975,74.4
1976,106.5
1977,96.4
1978,85.8
1979,135.6
1980,66.8
1981,90.6
1982,95.6
1983,90.6
1984,134.4
1985,60.8
1986,69.2
1987,86.6
1988,92.4
1989,129.9
1990,72.8
1991,85.4
1993,55.2
1994,93.7
1995,96.1
1996,91.3
1997,76.5
1998,74.5
1999,100.3
2000,79.4
2001,63.5
2002,123
2003,102.7
2004,71.3
2005,160.3
2006,138.9
2007,71.5
2008,82.3
2009,95.6
2010,112.3
2011,112.5
2012,108.3
2013,104.5
2014,128.3
2015,109.2
2016,77.9
2017,85.7
2018,96.9
2019,87.3
2020,53.5
