UF,MT
Cidade,ARIPUANA
Nome Posto,HUMBOLDT
Latitude,-10.175277777777778
Longitude,-59.45166666666667
Codigo,1059000
Qtd. Anos,42
Ano,Maxima
1978,155
1979,78
1980,83.4
1981,85
1982,122
1983,119.6
1984,58.6
1985,74.4
1986,66.6
1987,141.8
1988,92
1989,95.4
1990,106.2
1991,89.3
1992,68.5
1993,72.4
1994,129.3
1995,140.5
1996,105.3
1997,93.7
1998,133.9
1999,79.5
2000,92.1
2001,81.7
2002,101.2
2003,103.2
2004,84.3
2005,86.2
2006,207.2
2007,118.8
2008,80.3
2009,170
2010,96.9
2011,190
2012,68.2
2013,86.2
2014,72.8
2015,79.9
2016,116.8
2017,78
2018,132.2
2019,75.9
