UF,MT
Cidade,BARAO DE MELGACO
Nome Posto,SAO JOSE DO BORIREU
Latitude,-16.921111111111113
Longitude,-56.22361111111111
Codigo,1656003
Qtd. Anos,45
Ano,Maxima
1970,94
1971,110.2
1972,87.6
1973,167.5
1974,86.4
1975,100
1976,97.5
1977,76.7
1978,61.2
1979,90
1980,189.8
1981,77.8
1982,77.9
1984,455
1985,36
1986,52.8
1987,101
1993,51
1994,71
1995,69.3
1996,71.7
1997,87.4
1998,92.2
1999,126.5
2000,91.4
2001,92
2002,99.9
2003,56.2
2004,94.6
2005,82.6
2006,67.7
2007,49.5
2008,101.1
2009,97.2
2010,66.1
2011,75
2012,55
2013,48
2014,74.5
2015,47.3
2016,53.7
2017,72.3
2018,166.5
2019,54
2020,12.5
