UF,MT
Cidade,BARRA DO BUGRES
Nome Posto,TANGARA DA SERRA
Latitude,-14.632222222222223
Longitude,-57.468611111111116
Codigo,1457001
Qtd. Anos,50
Ano,Maxima
1969,111
1970,191
1971,103.8
1972,88.2
1973,123.5
1974,100
1975,68
1976,81
1977,90
1978,115
1979,72
1980,103
1981,105
1982,84
1983,187
1984,93
1985,80.4
1986,157.4
1987,75
1988,110
1989,80
1990,140
1991,58.6
1993,45.4
1994,66
1995,78
1996,124.3
1997,96
1998,75.5
1999,103.6
2000,69.3
2001,96.2
2002,72.8
2003,186.3
2004,126.2
2005,73.5
2006,114.9
2007,93.1
2008,147.7
2009,72.3
2010,162.8
2011,77
2012,111.2
2013,94.3
2014,96.5
2015,76
2016,56.1
2017,72.6
2018,69.1
2019,68.9
